views,likes,comments,watch_time_minutes,video_length_minutes,subscribers,ad_revenue_usd,engagement_rate,category_Entertainment,category_Gaming,category_Lifestyle,category_Music,category_Tech,device_Mobile,device_TV,device_Tablet,country_CA,country_DE,country_IN,country_UK,country_US
9936,1221.0,320.0,26497.21418,2.862136598,228086,203.1782367,0.1550925925925926,True,False,False,False,False,False,True,False,False,False,True,False,False
10017,642.0,346.0,15209.74744,23.7380686,736015,140.880508,0.09863232504741938,False,True,False,False,False,False,False,True,True,False,False,False,False
10097,1979.0,187.0,57332.6585,26.2006336,240534,360.1340075,0.21451916410815094,False,False,False,False,False,False,True,False,True,False,False,False,False
10034,1191.0,242.0,31334.51777,11.77034007,434482,224.6382615,0.1428144309348216,True,False,False,False,False,True,False,False,False,False,False,True,False
9889,1858.0,477.0,15665.66643,6.635853863,42030,165.5143876,0.23612094246132065,False,False,False,False,False,True,False,False,True,False,False,False,False
10002,843.0,159.0,35131.75623,12.49182616,541268,234.9659963,0.10017996400719856,False,False,False,True,False,False,True,False,True,False,False,False,False
9989,1944.0,160.0,35380.07091,6.520902681,193736,255.0094118,0.2106316948643508,False,False,False,True,False,True,False,False,False,False,True,False,False
10051,784.0,458.0,19263.21258,24.5861209,823662,164.5334549,0.12356979405034325,True,False,False,False,False,False,False,True,False,False,False,False,True
9934,292.0,88.0,37543.8277213796,5.946665704,58437,336.4098562,0.03825246627743104,True,False,False,False,False,False,False,False,False,False,False,True,False
10051,1099.6336179837122,61.0,40011.57994,24.45472329,103872,246.7118825,0.11547444214343967,False,False,False,False,True,False,False,True,False,True,False,False,False
9907,1099.6336179837122,184.0,54008.29683,8.39763944,226781,330.2197626,0.12956834742946524,False,True,False,False,False,True,False,False,False,False,False,False,True
10052,631.0,406.0,40853.45501,20.33414852,237553,262.8032263,0.10316354954237962,False,False,False,False,True,True,False,False,False,False,False,True,False
9990,1225.0,236.0,33689.04921,9.152332026,499149,235.9907725,0.14624624624624624,False,False,False,False,False,False,False,True,False,False,False,True,False
10106,1450.0,416.0,39394.25252,26.374592,830553,270.4534404,0.18464278646348703,False,False,False,True,False,False,True,False,False,False,False,False,True
9999,589.0,488.0,22777.41396,15.62954233,258755,177.9944291,0.1077107710771077,False,False,False,False,False,False,False,True,False,False,False,False,True
9979,689.0,439.0,19196.04536,12.0419849,948421,161.8822861,0.11303737849483916,False,False,False,False,True,True,False,False,False,False,False,True,False
10024,539.0,459.0,38020.72122,14.54594075,294403,248.632004,0.09956105347166799,False,False,False,False,True,True,False,False,False,False,False,False,False
10070,351.0,444.0,21044.39588,19.69320562,33467,165.3471581,0.07894736842105263,False,False,False,True,False,True,False,False,False,False,True,False,False
10026,1057.0,339.0,34851.09965,13.67205545,753781,240.5396971,0.13923798124875325,False,False,False,True,False,False,False,True,False,False,False,False,False
10094,303.0,160.0,47507.54331,22.68833343,981054,284.5274593,0.045868832970081236,False,False,False,False,True,True,False,False,True,False,False,False,False
10092,221.0,330.0,60498.57805,16.93223027,173160,347.2762223,0.05459770114942529,False,False,True,False,False,False,False,True,False,True,False,False,False
9943,1345.0,60.0,17886.97822,20.03945712,338260,160.2839649,0.14130544101377854,True,False,False,False,False,False,True,False,False,False,True,False,False
10073,489.0,245.0,26111.17552,3.664890897,504852,188.2018742,0.07286806313908469,False,False,True,False,False,False,True,False,False,False,False,False,True
9804,1010.0,338.0,37543.8277213796,11.09839972,156446,279.1120967,0.13749490004079967,False,False,True,False,False,False,False,True,False,False,False,True,False
9774,1856.0,69.0,53348.9279,13.64473091,364772,335.5274587,0.19695109474115,False,False,False,False,True,True,False,False,False,True,False,False,False
9794,835.0,391.0,30449.2582,23.10423728,10301,215.6563974,0.1251786808249949,False,False,False,False,False,False,False,False,True,False,False,False,False
9960,618.0,383.0,39763.61816,8.994536381,618908,256.5670507,0.10050200803212851,False,False,False,True,False,False,True,False,False,True,False,False,False
9942,1027.0,102.0,48958.79643,6.459105764,634747,302.0242408,0.11355864011265339,False,False,False,False,False,False,False,False,True,False,False,False,False
10125,1174.0,65.0,41767.73518,27.1519405,271933,270.9658367,0.12237037037037037,False,False,False,True,False,False,False,False,True,False,False,False,False
10053,1628.0,413.0,19785.20539,29.89439109,553639,180.7375239,0.20302397294339997,True,False,False,False,False,False,False,False,False,True,False,False,False
9795,1828.0,129.0,27373.47184,22.90109697,720229,213.7246578,0.19979581419091375,False,False,False,False,True,False,False,True,True,False,False,False,False
9780,308.0,157.0,52937.92454,21.95479043,711242,308.5274967,0.04754601226993865,False,False,False,False,False,False,False,True,False,False,False,False,False
9920,1799.0,105.0,34721.30414,22.69150992,415686,248.1066448,0.19193548387096773,True,False,False,False,False,False,False,False,False,True,False,False,False
10021,1946.0,219.0,45743.52793,11.44449753,306189,305.0834608,0.2160463027641952,False,False,False,True,False,True,False,False,True,False,False,False,False
9949,1662.0,274.3966359383599,33385.2088,2.300076437,803842,241.3914944,0.1946322882639823,False,False,False,False,True,False,False,True,True,False,False,False,False
10052,1990.0,66.0,52577.61606,7.230923033,593102,335.5911139,0.20453641066454437,True,False,False,False,False,True,False,False,False,False,False,True,False
10247,1176.0,170.0,16581.21641,3.279580591,632652,154.6978099,0.1313555186883966,False,True,False,False,False,False,True,False,False,False,False,False,False
9928,1535.0,408.0,22048.37629,26.60644951,191029,189.0716642,0.19570910556003224,False,False,False,True,False,False,False,False,False,False,False,True,False
9868,626.0,157.0,16920.21906,23.1787203,91026,144.6448317,0.07934738548844751,False,False,False,True,False,True,False,False,False,False,False,False,False
9893,220.0,369.0,53450.49699,3.542635291,205569,313.6640439,0.05953704639644193,False,False,False,False,True,True,False,False,False,True,False,False,False
10035,1259.0,151.0,37543.8277213796,18.09968085,257566,147.880515,0.14050822122571002,False,False,False,False,True,False,False,False,False,True,False,False,False
9968,1099.6336179837122,323.0,57697.24617,14.53768121,697130,349.5792656,0.14272006600960194,False,True,False,False,False,False,True,False,True,False,False,False,False
10085,809.0,167.0,19494.33412,11.31412972,245573,161.2284033,0.09677739216658404,False,False,True,False,False,False,False,False,False,False,False,False,False
10133,1699.0,299.0,15595.6292,11.16598904,528998,160.6633927,0.1971775387348268,False,False,False,True,False,True,False,False,False,False,True,False,False
10098,1516.0,131.0,23557.56903,7.661627216,660932,191.9851177,0.16310160427807488,False,False,False,False,False,True,False,False,False,False,False,False,False
9964,464.0,230.0,35097.42398,9.835019822,872419,229.3124362,0.06965074267362505,False,False,False,False,True,False,True,False,False,True,False,False,False
10001,1353.0,380.0,42505.34464,5.867130297,480469,282.2877861,0.17328267173282672,False,True,False,False,False,False,False,True,False,False,False,True,False
10001,1099.6336179837122,414.0,16299.66002,24.19334111,124529,154.7183105,0.15134822697567366,True,False,False,False,False,True,False,False,False,False,True,False,False
9929,1932.0,185.0,37543.8277213796,19.63818632,986248,234.1398692,0.21321381810857085,False,True,False,False,False,False,False,False,False,False,False,False,True
10151,1850.0,421.0,26010.62523,24.5504107,837462,214.5511974,0.22372180080780218,False,False,True,False,False,False,False,True,False,False,True,False,False
9795,457.0,216.0,42773.11631,29.90618302,47620,264.2582708,0.06870852475752935,False,False,False,False,True,False,False,True,False,False,False,True,False
10166,317.0,383.0,52754.11235,11.54656634,66516,313.711147,0.06885697422781822,False,False,False,False,True,False,False,False,False,False,False,False,False
10180,325.0,380.0,27168.01261,19.52919019,939271,193.2434492,0.06925343811394892,False,True,False,False,False,False,False,False,True,False,False,False,False
9987,856.0,179.0,40777.63088,3.535899803,377964,262.0727005,0.10363472514268549,False,False,False,True,False,False,False,True,False,True,False,False,False
9989,450.0,274.3966359383599,37543.8277213796,22.08538485,429793,213.6837668,0.07251943497230552,False,False,False,True,False,False,False,False,False,False,False,False,False
10013,1256.0,166.0,38177.28077,29.58863181,498732,256.6002327,0.1420153800059922,False,False,True,False,False,True,False,False,False,False,True,False,False
9982,1099.0,197.0,39735.17684,12.99968855,621563,261.6178607,0.12983370066119015,False,False,False,False,True,True,False,False,False,False,False,False,True
9949,1826.0,245.0,39274.76591,4.577987242,183444,272.595492,0.20816162428384763,False,False,False,False,True,False,False,True,False,False,False,False,False
10039,501.0,73.0,28023.18669,4.593501385,434927,194.2889893,0.057177009662316966,False,False,False,False,True,False,True,False,False,False,False,False,False
10091,448.0,486.0,25142.05919,5.016507335,946478,187.1641982,0.09255772470518284,False,False,False,False,False,False,False,True,False,False,False,True,False
10117,1361.0,288.0,23675.72538,28.99229552,6647,192.6755422,0.16299298210932095,False,False,False,False,True,False,False,False,True,False,False,False,False
9853,1564.0,140.0,21268.61125,15.76915385,671298,180.8968774,0.17294225109103825,False,False,False,False,True,False,True,False,False,False,False,False,True
10236,221.0,230.0,39733.52386,16.94367445,449742,248.4101948,0.04406017975771786,True,False,False,False,False,False,True,False,False,False,True,False,False
10028,1518.0,83.0,47357.40013,7.560315496,466031,303.0349249,0.15965297167929796,False,False,True,False,False,False,True,False,False,True,False,False,False
9978,1211.0,265.0,30444.04207,28.73333922,235362,220.8873562,0.14792543595911004,False,True,False,False,False,False,True,False,False,False,False,False,False
9914,1865.0,284.0,51990.65733,20.93609673,103305,333.7032655,0.2167641718781521,False,False,False,False,True,False,False,True,False,False,False,True,False
9999,481.0,301.0,57326.49771,13.56856892,197000,335.8070482,0.0782078207820782,False,True,False,False,False,False,False,True,False,True,False,False,False
9913,1191.0,290.0,48737.98119,24.48918593,215258,306.8820461,0.14939977806920207,True,False,False,False,False,False,False,True,False,False,False,False,True
9763,725.0,258.0,37352.86477,22.71856906,383582,243.8656481,0.10068626446788898,False,False,True,False,False,True,False,False,False,True,False,False,False
10211,2040.0,403.0,49667.74216,4.852402764,385073,329.3523674,0.23925178728821858,False,False,False,True,False,False,False,False,False,False,True,False,False
10105,755.0,122.0,31000.56212,22.63045378,708964,213.8775857,0.08678871845620979,False,False,True,False,False,False,False,False,False,False,False,False,True
9973,1759.0,307.0,43158.75331,21.47996402,196452,290.9458019,0.20715933019151708,False,False,False,True,False,False,False,False,False,True,False,False,False
9828,1796.0,356.0,18582.53292,2.440223257,586230,175.8029393,0.21896621896621896,False,False,False,True,False,False,False,True,False,False,False,False,False
9987,1529.0,356.0,47979.15293,16.29787681,694559,310.6337826,0.1887453689796736,False,True,False,False,False,False,True,False,False,False,True,False,False
9958,1722.0,314.0,47425.762,18.05451177,941806,310.4689901,0.20445872665193815,False,False,False,True,False,False,True,False,False,False,False,False,True
10037,1604.0,228.0,39168.7599,23.32319057,687426,268.4464603,0.18252465876257845,False,False,False,True,False,False,True,False,False,False,False,False,True
9947,1041.0,439.0,44249.76882,19.87656098,836855,285.8821747,0.14878857947119734,False,True,False,False,False,True,False,False,False,False,False,False,True
10202,365.0,178.0,35671.17027,24.04979816,144408,230.6621669,0.053224857871005685,False,True,False,False,False,False,True,False,False,False,False,False,True
10090,1755.0,125.0,36401.67717,26.54687695,591585,256.5020938,0.1863230921704658,False,True,False,False,False,True,False,False,True,False,False,False,False
10107,1723.0,219.0,45067.29652,9.485213881,395597,298.5106579,0.19214405857326605,False,False,False,True,False,True,False,False,False,False,True,False,False
10145,1977.0,445.0,23489.5447,29.42037318,351869,205.2295011,0.23873829472646624,False,False,False,True,False,False,False,True,False,False,False,False,False
9921,715.0,379.0,30989.63339,7.076375488,669011,216.597005,0.11027114202197359,False,False,False,True,False,False,True,False,True,False,False,False,False
9925,1099.6336179837122,424.0,51023.87963,21.49374288,774823,323.1183492,0.15351472221498358,False,False,False,True,False,False,False,True,False,False,False,False,True
10085,507.0,274.3966359383599,36365.28932,14.79418719,798376,237.2093416,0.07748107446091818,False,False,False,False,True,False,False,False,False,True,False,False,False
10064,1840.0,274.3966359383599,49965.79092,27.22545744,444918,322.8932246,0.2100950552402981,True,False,False,False,False,True,False,False,False,True,False,False,False
9910,1715.0,478.0,24816.611,20.49224956,197245,206.3256565,0.22129162462159435,False,False,False,False,True,True,False,False,False,False,False,True,False
9801,598.0,201.0,55275.63512,24.58016244,740623,325.3987105,0.08152229364350576,False,True,False,False,False,False,False,True,False,False,False,False,False
9996,620.0,164.0,54338.8055,22.52817776,361178,321.7402102,0.0784313725490196,False,True,False,False,False,False,True,False,False,False,False,True,False
